,state,zipcode,total_income
6,AL,35004,18384.0
7,AL,35004,51708.0
8,AL,35004,59818.0
9,AL,35004,57089.0
10,AL,35004,105207.0
11,AL,35004,25320.0001
12,AL,35005,18709.0
13,AL,35005,36959.0
14,AL,35005,31371.0
15,AL,35005,20015.0
16,AL,35005,27749.0
18,AL,35006,5288.0
19,AL,35006,11283.0
20,AL,35006,12421.0
21,AL,35006,12995.0
22,AL,35006,25706.0
24,AL,35007,48471.0
25,AL,35007,107949.0
26,AL,35007,120062.0
27,AL,35007,122801.0
28,AL,35007,263773.0
29,AL,35007,100904.0
30,AL,35010,46562.0
31,AL,35010,78789.0
32,AL,35010,58330.0
33,AL,35010,46262.0
34,AL,35010,98681.0
35,AL,35010,135182.0
36,AL,35014,8401.0
37,AL,35014,18386.0
38,AL,35014,14638.0
39,AL,35014,14030.0
40,AL,35014,18953.0
41,AL,35014,14846.0001
42,AL,35016,33311.0
43,AL,35016,69418.0
44,AL,35016,67702.0
45,AL,35016,63697.0
46,AL,35016,116758.0
47,AL,35016,59152.0
48,AL,35019,4866.0
49,AL,35019,9058.0
50,AL,35019,8794.0
51,AL,35019,7111.0
52,AL,35019,17968.0
54,AL,35020,74576.0
55,AL,35020,95711.0
56,AL,35020,52082.0
57,AL,35020,21684.0
58,AL,35020,28573.0
60,AL,35022,44049.0
61,AL,35022,101307.0
62,AL,35022,109631.0
63,AL,35022,95771.0
64,AL,35022,202386.0
65,AL,35022,102009.0
66,AL,35023,47651.0
67,AL,35023,113834.0
68,AL,35023,103762.0
69,AL,35023,84634.0
70,AL,35023,136957.0
71,AL,35023,39491.0
72,AL,35031,15102.0
73,AL,35031,29995.0
74,AL,35031,30190.0
75,AL,35031,21671.0
76,AL,35031,31242.0
77,AL,35031,15156.0001
78,AL,35033,5947.0
79,AL,35033,12225.0
80,AL,35033,14974.0
81,AL,35033,13885.0
82,AL,35033,22977.0
83,AL,35033,21165.0001
84,AL,35034,8206.0
85,AL,35034,14803.0
86,AL,35034,10842.0
87,AL,35034,7862.0
