state,zip_code,total_income
AL,35004,18384
AL,35004,51708
AL,35004,59818
AL,35004,57089
AL,35004,105207
AL,35004,25320
AL,35005,18709
AL,35005,36959
AL,35005,31371
AL,35005,20015
AL,35005,27749
AL,35006,5288
AL,35006,11283
AL,35006,12421
AL,35006,12995
AL,35006,25706
AL,35007,48471
AL,35007,107949
AL,35007,120062
AL,35007,122801
AL,35007,263773
AL,35007,100904
AL,35010,46562
AL,35010,78789
AL,35010,58330
AL,35010,46262
AL,35010,98681
AL,35010,135182
AL,35014,8401
AL,35014,18386
AL,35014,14638
AL,35014,14030
AL,35014,18953
AL,35014,14846
AL,35016,33311
AL,35016,69418
AL,35016,67702
AL,35016,63697
AL,35016,116758
AL,35016,59152
AL,35019,4866
AL,35019,9058
AL,35019,8794
AL,35019,7111
AL,35019,17968
AL,35020,74576
AL,35020,95711
AL,35020,52082
AL,35020,21684
AL,35020,28573
AL,35022,44049
AL,35022,101307
AL,35022,109631
AL,35022,95771
AL,35022,202386
AL,35022,102009
AL,35023,47651
AL,35023,113834
AL,35023,103762
AL,35023,84634
AL,35023,136957
AL,35023,39491
AL,35031,15102
AL,35031,29995
AL,35031,30190
AL,35031,21671
AL,35031,31242
AL,35031,15156
AL,35033,5947
AL,35033,12225
AL,35033,14974
AL,35033,13885
AL,35033,22977
AL,35033,21165
AL,35034,8206
AL,35034,14803
AL,35034,10842
AL,35034,7862
AL,35034,16966
AL,35035,3118
AL,35035,5082
AL,35035,4885
AL,35035,4571
AL,35035,24632
AL,35040,32119
AL,35040,90859
AL,35040,100007
AL,35040,84062
AL,35040,120762
AL,35040,50015
AL,35042,12288
AL,35042,22471
AL,35042,21128
AL,35042,20680
AL,35042,33801
AL,35042,8473
AL,35043,16880
AL,35043,34810
AL,35043,51883
AL,35043,66752
AL,35043,224638
AL,35043,154963
AL,35044,18008
AL,35044,33651
AL,35044,27248
AL,35044,20215
AL,35044,35476
AL,35044,15089
AL,35045,28511
AL,35045,55249
AL,35045,52567
AL,35045,45440
AL,35045,79161
AL,35045,37461
AL,35046,10862
AL,35046,21874
AL,35046,21031
AL,35046,17930
AL,35046,46099
AL,35046,26592
AL,35049,6547
AL,35049,15031
AL,35049,15717
AL,35049,18083
AL,35049,23360
AL,35049,8434
AL,35051,16243
AL,35051,29934
AL,35051,29363
AL,35051,31405
AL,35051,66755
AL,35051,72819
AL,35053,4089
AL,35053,9740
AL,35053,10986
AL,35053,11773
AL,35053,28122
AL,35053,28245
AL,35054,7171
AL,35054,15012
AL,35054,15978
AL,35054,20184
AL,35054,46939
AL,35054,47707
AL,35055,38098
AL,35055,81075
AL,35055,71987
AL,35055,69077
AL,35055,133550
AL,35055,88695
AL,35057,24014
AL,35057,55155
AL,35057,52211
AL,35057,45896
AL,35057,91784
AL,35057,77417
AL,35058,20052
AL,35058,42371
AL,35058,38052
AL,35058,37973
AL,35058,64540
AL,35058,44491
AL,35061,3939
