"rank","name","usps","pop2022","pop2010","growth","density","aland_sqmi"
"1","New York City","NY","8930002","8175133","0.0923","29729","300.3810"
"2","Los Angeles","CA","3919973","3792621","0.0336","8359","468.9560"
"3","Chicago","IL","2756546","2695598","0.0226","12124","227.3690"
"4","Houston","TX","2345606","2099451","0.1172","3664","640.1940"
"5","Phoenix","AZ","1640641","1445632","0.1349","3169","517.6730"
"6","Philadelphia","PA","1619355","1526006","0.0612","12060","134.2790"
"7","San Antonio","TX","1456069","1327407","0.0969","3002","485.1130"
"8","San Diego","CA","1402838","1307402","0.0730","4305","325.8770"
"9","Dallas","TX","1325691","1197816","0.1068","3902","339.7360"
"10","San Jose","CA","1026700","945942","0.0854","5774","177.8080"
"11","Austin","TX","996147","790390","0.2603","3114","319.9390"
"12","Jacksonville","FL","975177","821784","0.1867","1305","747.4670"
"13","Fort Worth","TX","954457","741206","0.2877","2762","345.5840"
"14","Columbus","OH","929492","787033","0.1810","4240","219.1970"
"15","Charlotte","NC","903211","731424","0.2349","2940","307.2380"
"16","Indianapolis","IN","901082","820445","0.0983","2492","361.5710"
"17","San Francisco","CA","887711","805235","0.1024","18927","46.9030"
"18","Seattle","WA","762687","608660","0.2531","9095","83.8620"
"19","Denver","CO","738594","600158","0.2307","4818","153.2920"
"20","Washington","DC","707109","601723","0.1751","11566","61.1360"
"21","Nashville","TN","707091","601222","0.1761","1487","475.5430"
"22","Oklahoma City","OK","701266","579999","0.2091","1156","606.4450"
"23","Boston","MA","687257","617594","0.1128","14217","48.3390"
"24","El Paso","TX","684753","649121","0.0549","2660","257.4200"
"25","Portland","OR","666249","583776","0.1413","4994","133.4210"
"26","Las Vegas","NV","653533","583756","0.1195","4610","141.7670"
"27","Memphis","TN","630348","646889","-0.0256","1986","317.3570"
"28","Detroit","MI","624177","713777","-0.1255","4500","138.7150"
"29","Baltimore","MD","578658","620961","-0.0681","7149","80.9470"
"30","Milwaukee","WI","573700","594833","-0.0355","5965","96.1840"
"31","Albuquerque","NM","568301","545852","0.0411","3036","187.2150"
"32","Fresno","CA","551595","494665","0.1151","4808","114.7250"
"33","Tucson","AZ","547131","520116","0.0519","2299","238.0140"
"34","Sacramento","CA","536635","466488","0.1504","5491","97.7300"
"35","Kansas City","MO","517750","459787","0.1261","1644","314.8860"
"36","Mesa","AZ","517302","439041","0.1783","3746","138.0850"
"37","Atlanta","GA","514457","420003","0.2249","3790","135.7370"
"38","Omaha","NE","501469","408958","0.2262","3557","140.9830"
"39","Colorado Springs","CO","491467","416427","0.1802","2520","195"
"40","Raleigh","NC","480419","403892","0.1895","3293","145.8860"
"41","Long Beach","CA","467638","462257","0.0116","9224","50.6960"
"42","Virginia Beach","VA","463766","437994","0.0588","1895","244.7230"
"43","Miami","FL","450797","399457","0.1285","12524","35.9960"
"44","Oakland","CA","450630","390724","0.1533","8062","55.8930"
